type,event_id,bin,dev_log,dev_se,total_effect_pct,name,start,attendance
Arts & Theatre,ev_19,post1,-0.008767801886586742,0.0940319326955868,294.64381757122226,Cirque du Soleil ALIZÉ,2026-06-14 17:00:00,539
Arts & Theatre,ev_19,post2,-0.0031138478662780748,0.09369469382723389,246.42632594470956,Cirque du Soleil ALIZÉ,2026-06-14 17:00:00,539
Arts & Theatre,ev_20,pre3,-0.003415042224738441,0.09305903002063014,129.21324703799303,Lachkater - die Stand Up Comedy Show,2026-06-14 19:00:00,692
Arts & Theatre,ev_20,pre2,-0.002074041498774018,0.09298702131677955,148.27124113197635,Lachkater - die Stand Up Comedy Show,2026-06-14 19:00:00,692
Arts & Theatre,ev_20,pre1,-0.003048840697528114,0.0933342479368798,147.03022674390706,Lachkater - die Stand Up Comedy Show,2026-06-14 19:00:00,692
Arts & Theatre,ev_20,during,-0.009615400646618883,0.10312554675543358,108.58917105755803,Lachkater - die Stand Up Comedy Show,2026-06-14 19:00:00,692
Arts & Theatre,ev_20,post1,0.00048997479459792,0.09403043452594027,298.31430596851965,Lachkater - die Stand Up Comedy Show,2026-06-14 19:00:00,692
Arts & Theatre,ev_20,post2,-0.007288744308509468,0.09369320709342767,244.98304677589476,Lachkater - die Stand Up Comedy Show,2026-06-14 19:00:00,692
Music,ev_21,pre3,0.003143441285685459,0.0880093273150138,-8.094627681987953,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-14 20:00:00,1788
Music,ev_21,pre2,0.0020411611259429246,0.08798357025202548,8.031652261026245,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-14 20:00:00,1788
Music,ev_21,pre1,0.0005265844963500509,0.08820102037061844,27.939662961779387,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-14 20:00:00,1788
Music,ev_21,during,0.005730175681873877,0.08702773523772517,11.859356337715043,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-14 20:00:00,1788
Music,ev_21,post1,0.004541517723832219,0.08921063988453933,456.6028534782155,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-14 20:00:00,1788
Music,ev_21,post2,0.006279596418558225,0.08945633564303451,375.4404383541006,DJ Bobo | Box-Seat in the Ticketmaster Suite,2026-06-14 20:00:00,1788
Music,ev_22,pre3,-0.0007650479456201212,0.08801259497996718,-8.453137767196528,Hayley Williams,2026-06-15 00:00:00,1485
Music,ev_22,pre2,0.0025974749343311144,0.0879868678732959,8.091768481113304,Hayley Williams,2026-06-15 00:00:00,1485
Music,ev_22,pre1,0.010166402079175492,0.08820434253543737,29.1789415875215,Hayley Williams,2026-06-15 00:00:00,1485
Music,ev_22,during,0.0087381180516536,0.08730286427033342,12.196329378773685,Hayley Williams,2026-06-15 00:00:00,1485
Music,ev_22,post1,0.0,0.08935836022824693,454.08076314789855,Hayley Williams,2026-06-15 00:00:00,1485
Music,ev_22,post2,0.0,0.08960523900270147,372.4642187892159,Hayley Williams,2026-06-15 00:00:00,1485
Music,ev_24,pre3,0.0018497192050598245,0.08800941716913631,-8.213450812856815,femtanyl - Man Bites Dog Tour,2026-06-15 20:00:00,1929
Music,ev_24,pre2,-0.0022696951505538025,0.08798365657322967,7.566945696077876,femtanyl - Man Bites Dog Tour,2026-06-15 20:00:00,1929
Music,ev_24,pre1,-0.0013674114330948504,0.08820110743290609,27.697575090005632,femtanyl - Man Bites Dog Tour,2026-06-15 20:00:00,1929
Music,ev_24,during,0.0061799563198676275,0.08702797703187712,11.909679826791319,femtanyl - Man Bites Dog Tour,2026-06-15 20:00:00,1929
Music,ev_24,post1,0.0017452459534234666,0.08921072532177313,455.04861468147493,femtanyl - Man Bites Dog Tour,2026-06-15 20:00:00,1929
Music,ev_24,post2,0.00207682437473653,0.08945640759583519,373.4464636169368,femtanyl - Man Bites Dog Tour,2026-06-15 20:00:00,1929
Music,ev_25,pre3,-0.00018039932067482768,0.08801147227895986,-8.399599371024225,Good Dye Young Presents: Hayley Williams At A Bachelorette Party,2026-06-15 20:00:00,2195
Music,ev_25,pre2,-0.00010608830398066481,0.0879857172961952,7.799930228828833,Good Dye Young Presents: Hayley Williams At A Bachelorette Party,2026-06-15 20:00:00,2195
Music,ev_25,pre1,0.0009493408899449343,0.08820318379286049,27.99376170678032,Good Dye Young Presents: Hayley Williams At A Bachelorette Party,2026-06-15 20:00:00,2195
Music,ev_25,during,0.0026589649600253598,0.08703412749205366,11.516339691013776,Good Dye Young Presents: Hayley Williams At A Bachelorette Party,2026-06-15 20:00:00,2195
Music,ev_25,post1,-0.000316746553865955,0.0892129418268553,453.9052877676861,Good Dye Young Presents: Hayley Williams At A Bachelorette Party,2026-06-15 20:00:00,2195
Music,ev_25,post2,0.003873265144153197,0.08945862710932087,374.2977465570661,Good Dye Young Presents: Hayley Williams At A Bachelorette Party,2026-06-15 20:00:00,2195
Music,ev_26,pre3,-0.002100194542387488,0.08800927330842058,-8.575284688583096,Tom Misch,2026-06-16 20:00:00,1821
Music,ev_26,pre2,-0.0009903932753593937,0.08798351493182877,7.704644351710033,Tom Misch,2026-06-16 20:00:00,1821
